,"Atlanta, GA","Marietta, GA","Kennesaw, GA","Duluth, GA","Decatur, GA","Alpharetta, GA","Suwanee, GA","Smyrna, GA","Augusta, GA","Gainesville, GA","Dalton, GA","Brookhaven, GA","Roswell, GA"
"Marietta, GA",1751.0,,1035.0,2565.0,2532.0,2165.0,2917.0,773.0,9401.0,3922.0,4262.0,1858.0,1639.0
"Kennesaw, GA",2076.0,1090.0,,2890.0,2857.0,2490.0,3242.0,1630.0,9726.0,4247.0,3947.0,2183.0,2115.0
"Duluth, GA",2237.0,2526.0,2924.0,,2130.0,1527.0,673.0,2413.0,9135.0,2184.0,6135.0,1729.0,2022.0
"Decatur, GA",1252.0,2425.0,2823.0,2108.0,,2259.0,2281.0,2294.0,8212.0,3286.0,6034.0,1505.0,2165.0
"Alpharetta, GA",1998.0,2112.0,2510.0,1499.0,2302.0,,1864.0,1999.0,9308.0,3125.0,5721.0,1570.0,1061.0
"Suwanee, GA",2428.0,2851.0,3249.0,658.0,2320.0,1874.0,,2738.0,9326.0,1871.0,6460.0,2085.0,2435.0
"Smyrna, GA",1461.0,817.0,1608.0,2242.0,2209.0,1842.0,2593.0,,9004.0,3599.0,4819.0,1534.0,1748.0
"Augusta, GA",7896.0,9201.0,9599.0,9065.0,8152.0,9216.0,9238.0,8938.0,,9652.0,12810.0,8607.0,9122.0
"Gainesville, GA",3566.0,3989.0,4387.0,2397.0,3458.0,2986.0,2070.0,3876.0,9548.0,,7270.0,3223.0,3441.0
"Dalton, GA",5228.0,4231.0,3952.0,6042.0,6009.0,5642.0,6393.0,4781.0,12878.0,7252.0,,5334.0,5213.0
"Brookhaven, GA",1272.0,1699.0,2097.0,1716.0,1460.0,1528.0,2084.0,1586.0,8726.0,3089.0,5308.0,,1434.0
"Roswell, GA",1854.0,1674.0,2116.0,1979.0,2157.0,1033.0,2354.0,1854.0,9163.0,3559.0,5341.0,1425.0,
"Atlanta, GA",,1656.0,2054.0,2263.0,1234.0,1993.0,2436.0,1525.0,7918.0,3441.0,5265.0,1280.0,1899.0
