,"Atlanta, GA","Marietta, GA","Kennesaw, GA","Sandy Springs, GA","Roswell, GA","Decatur, GA","Duluth, GA","Alpharetta, GA","Suwanee, GA","Smyrna, GA","Augusta, GA","Gainesville, GA","Dalton, GA","Brookhaven, GA","Lawrenceville, GA","Douglasville, GA","Cartersville, GA","Milton, GA","Hinesville, GA","Statesboro, GA"
"Marietta, GA",32120.0,,10843.0,23615.0,21134.0,49231.0,48313.0,43378.0,62446.0,8867.0,264089.0,97765.0,114815.0,30829.0,62228.0,33426.0,40384.0,28244.0,416397.0,367451.0
"Kennesaw, GA",43701.0,11006.0,,35196.0,26381.0,60813.0,59895.0,54959.0,74028.0,28556.0,275671.0,109347.0,105961.0,42410.0,73810.0,40014.0,31530.0,32257.0,427978.0,379033.0
"Sandy Springs, GA",26758.0,25038.0,35665.0,,12636.0,31054.0,30135.0,20721.0,44269.0,19890.0,251910.0,79588.0,136217.0,10017.0,44051.0,52288.0,61786.0,26108.0,411035.0,362090.0
"Roswell, GA",35974.0,21164.0,26364.0,12560.0,,40281.0,23315.0,9411.0,32134.0,33514.0,261137.0,68992.0,132635.0,21747.0,53278.0,65912.0,58204.0,8316.0,420251.0,371305.0
"Decatur, GA",10330.0,40255.0,50882.0,30660.0,40040.0,,39349.0,46390.0,44590.0,34638.0,226703.0,79909.0,151434.0,14662.0,44372.0,46902.0,77004.0,51777.0,386029.0,337084.0
"Duluth, GA",43685.0,49543.0,60170.0,30159.0,26647.0,35761.0,,17643.0,9050.0,44395.0,256617.0,52114.0,160722.0,25139.0,20212.0,76793.0,86291.0,23045.0,420333.0,371387.0
"Alpharetta, GA",42293.0,44981.0,55608.0,20900.0,9574.0,46600.0,18016.0,,23701.0,39834.0,267456.0,60115.0,156160.0,28067.0,37680.0,72232.0,81729.0,5403.0,426570.0,377625.0
"Suwanee, GA",53172.0,64240.0,74867.0,44856.0,32637.0,45247.0,9110.0,23744.0,,59093.0,266103.0,43826.0,175419.0,40117.0,17273.0,88285.0,100988.0,29035.0,429819.0,380874.0
"Smyrna, GA",26090.0,9123.0,28123.0,19275.0,32688.0,44892.0,43973.0,39038.0,58107.0,,257712.0,93426.0,128675.0,26489.0,57889.0,40507.0,54244.0,44425.0,409804.0,360859.0
"Augusta, GA",232419.0,264921.0,275547.0,251819.0,261199.0,226586.0,260508.0,267549.0,265749.0,258816.0,,219462.0,376099.0,247080.0,217774.0,266909.0,301669.0,272937.0,232293.0,131604.0
"Gainesville, GA",87726.0,98794.0,109421.0,79410.0,66905.0,79801.0,52166.0,57912.0,43032.0,93646.0,219283.0,,144855.0,74671.0,46875.0,122839.0,135542.0,63314.0,464373.0,329521.0
"Dalton, GA",144002.0,115728.0,106109.0,135497.0,132615.0,161114.0,160195.0,155260.0,174329.0,128857.0,375971.0,144742.0,,142711.0,174111.0,130863.0,82304.0,124732.0,528279.0,479334.0
"Brookhaven, GA",18149.0,31178.0,41805.0,9856.0,21698.0,13014.0,25770.0,28049.0,38358.0,26030.0,247748.0,73677.0,142357.0,,38140.0,53263.0,67926.0,33436.0,402426.0,353481.0
"Lawrenceville, GA",52385.0,63453.0,74080.0,44069.0,53448.0,44460.0,18565.0,37334.0,17579.0,58305.0,217464.0,47053.0,174632.0,39330.0,,87498.0,100201.0,42736.0,429032.0,315540.0
"Douglasville, GA",35666.0,52972.0,38815.0,51173.0,64586.0,47985.0,75871.0,70936.0,87887.0,40697.0,267288.0,123206.0,130509.0,52803.0,87669.0,,58428.0,76323.0,419381.0,370436.0
"Cartersville, GA",70014.0,41739.0,26544.0,61509.0,58627.0,87126.0,86207.0,81272.0,100341.0,54869.0,301983.0,135659.0,78582.0,68723.0,100123.0,52957.0,,53886.0,454291.0,405346.0
"Milton, GA",44968.0,28390.0,32509.0,23575.0,8314.0,49275.0,23265.0,6505.0,28878.0,42508.0,270131.0,65743.0,124202.0,30741.0,42930.0,74906.0,53971.0,,429245.0,380300.0
"Hinesville, GA",384876.0,416981.0,427608.0,410589.0,419965.0,386107.0,424694.0,426315.0,429935.0,410601.0,232870.0,465253.0,528160.0,401890.0,429717.0,418693.0,453729.0,431702.0,,101117.0
"Statesboro, GA",336633.0,368738.0,379365.0,362347.0,371722.0,337864.0,376451.0,378073.0,381692.0,362358.0,132160.0,332431.0,479917.0,353648.0,315741.0,370451.0,405487.0,383460.0,101051.0,
"Atlanta, GA",,32899.0,43526.0,26508.0,35883.0,13172.0,47652.0,42234.0,52893.0,27282.0,232475.0,88211.0,144078.0,17809.0,52675.0,35358.0,69648.0,47621.0,384979.0,336034.0
