,"Atlanta, GA","Marietta, GA","Kennesaw, GA","Duluth, GA","Decatur, GA","Alpharetta, GA","Suwanee, GA","Smyrna, GA","Augusta, GA","Gainesville, GA","Dalton, GA","Brookhaven, GA","Roswell, GA"
"Marietta, GA",32120.0,,10843.0,48313.0,49231.0,43378.0,62446.0,8867.0,264089.0,97765.0,114815.0,30829.0,21134.0
"Kennesaw, GA",43701.0,11006.0,,59895.0,60813.0,54959.0,74028.0,28556.0,275671.0,109347.0,105961.0,42410.0,26381.0
"Duluth, GA",43685.0,49543.0,60170.0,,35761.0,17643.0,9050.0,44395.0,256617.0,52114.0,160722.0,25139.0,26647.0
"Decatur, GA",10330.0,40255.0,50882.0,39349.0,,46390.0,44590.0,34638.0,226703.0,79909.0,151434.0,14662.0,40040.0
"Alpharetta, GA",42293.0,44981.0,55608.0,18016.0,46600.0,,23701.0,39834.0,267456.0,60115.0,156160.0,28067.0,9574.0
"Suwanee, GA",53172.0,64240.0,74867.0,9110.0,45247.0,23744.0,,59093.0,266103.0,43826.0,175419.0,40117.0,32637.0
"Smyrna, GA",26090.0,9123.0,28123.0,43973.0,44892.0,39038.0,58107.0,,257712.0,93426.0,128675.0,26489.0,32688.0
"Augusta, GA",232419.0,264921.0,275547.0,260508.0,226586.0,267549.0,265749.0,258816.0,,219462.0,376099.0,247080.0,261199.0
"Gainesville, GA",87726.0,98794.0,109421.0,52166.0,79801.0,57912.0,43032.0,93646.0,219283.0,,144855.0,74671.0,66905.0
"Dalton, GA",144002.0,115728.0,106109.0,160195.0,161114.0,155260.0,174329.0,128857.0,375971.0,144742.0,,142711.0,132615.0
"Brookhaven, GA",18149.0,31178.0,41805.0,25770.0,13014.0,28049.0,38358.0,26030.0,247748.0,73677.0,142357.0,,21698.0
"Roswell, GA",35974.0,21164.0,26364.0,23315.0,40281.0,9411.0,32134.0,33514.0,261137.0,68992.0,132635.0,21747.0,
"Atlanta, GA",,32899.0,43526.0,47652.0,13172.0,42234.0,52893.0,27282.0,232475.0,88211.0,144078.0,17809.0,35883.0
